id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
87;ipe-rosa;Ipê-rosa;Handroanthus heptaphyllus (Vell.) Mattos;Nativa;NA O FLOR RMC RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;10-20m;julho-setembro;rosa;;Sul da BA, ES, MG, RJ e SP. É cultivado no PR, SC e RS.;mudas/mapas/Ipê_rosa.jpg;
88;jabuticaba;Jabuticaba;Myrciaria trunciflora Berg;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;10-15m;;;agosto-setembro e janeiro-fevereiro;MG, MS, SP até o RS.;mudas/mapas/Jabuticaba.jpg;
89;jacaranda-mimoso;Jacarandá mimoso;Jacaranda mimosifolia D. Don;Exótica;EX O IND FLOR;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Floração exuberante;D;Decídua;12-15m;dezembro-março;azul-violeta;;Cultivado em todo o Brasil.;mudas/mapas/Jacarandá_mimoso.jpg;
90;jambolao;Jambolão;Syzygium cumini (L.) Skeels;Exótica;EX FH FA O;Espécie exótica | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;15-20m;;;a partir de setembro;Cultivado em todo o Brasil.;mudas/mapas/Jambolão.jpg;
91;leucena;Leucena;Leucaena leucocephala (Lam.) R. de Wit;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);SD;Semidecídua;5-7m;;;;Pode ser cultivada em todo Brasil, contudo é sensível a geadas.;mudas/mapas/Leucena.jpg;
92;ligustro;Ligustro;Ligustrum lucidum W. T. Aiton;Exótica;EX S O;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;7-10m;;;;Cultivado no Sul e Sudeste do Brasil.;mudas/mapas/Ligustro.jpg;
93;limoeiro-do-mato;Limoeiro-do-mato;Randia armata (Sw.) DC.;Nativa;NA RAD;Espécie nativa | Recuperação de áreas degradadas;SD;Semidecídua;3-10m;;;junho;PR, SC e RS.;mudas/mapas/Limoeiro_do_mato.jpg;
94;louro-cravo;Louro-cravo;Pimenta pseudocaryophyllus (Gomes) L. R. Landrum;Nativa;NA FA O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;4-10m;;;;BA, MG, GO até SC. É cultivada também no RS.;mudas/mapas/Louro_cravo.jpg;
95;louro-pardo;Louro-pardo;Cordia trichotoma (Vell.) Arrab. ex Steud.;Nativa;NA O IND RMC RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-30m;;;;CE até o RS.;mudas/mapas/Louro_pardo.jpg;
96;magnolia-amarela;Magnólia-amarela;Michelia champaca L.;Exótica;EX O FLOR;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;P;Perenifólia;7-10m;outubro-novembro;amarela;;Cultivada no PR, SC e RS.;mudas/mapas/Magnólia_amarela.jpg;
